user,item,timestamp
47592,14631,1634872254913
31970,14631,1634899353333
11254,14631,1634909289500
34428,14631,1634942693480
48195,14631,1634948686633
16718,14631,1634954724687
31698,14631,1634983337556
19956,14631,1634995693506
27176,14631,1635035791601
20702,14631,1635474711715
7958,14631,1635565976251
9328,7771,1641305391800
20625,7771,1641325883702
20207,16425,1642667472982
11853,16425,1642668462734
36296,16425,1642668544782
45335,16425,1642668783807
43060,16425,1642671815759
38455,16425,1642676720553
19057,16425,1642677434979
26682,16425,1642679559591
26219,16425,1642722964831
27487,16425,1642738092191
49598,16425,1642738302741
17984,16425,1642771022828
41303,16425,1642777427041
23639,16425,1642805874823
31763,16425,1642822820387
19195,16425,1642893640700
25979,16425,1643093377561
34634,7771,1643180559074
4544,16425,1643287222543
45172,1148,1643364301795
38455,1148,1643364320955
23963,1148,1643368291876
4898,1148,1643368383710
98,1148,1643371108926
28611,16425,1643377001105
37859,1148,1643419420006
27683,1148,1643430086945
45125,1148,1643443258441
48320,7771,1643445772993
20488,7771,1643450907402
36590,7771,1643453350815
21828,7771,1643454379174
31706,621,1643503464102
12404,1148,1643507870639
376,621,1643510820377
26812,621,1643516236798
27072,621,1643517732260
21854,621,1643518084729
4117,621,1643524513621
10409,621,1643528677890
28066,621,1643532612079
29954,621,1643535092367
25188,1148,1643536939907
30134,621,1643537502805
36903,621,1643545714050
37859,621,1643550532584
2866,7771,1643550845974
12971,1148,1643552313453
45996,621,1643552405304
18423,621,1643589536523
969,621,1643590187155
29249,621,1643595086126
15654,621,1643607301267
4658,621,1643607914218
19707,621,1643640209596
8220,621,1643642695546
19898,621,1643678140060
17780,621,1643681218629
14853,7771,1643691195215
49939,621,1643713078696
2558,7771,1643714742683
3065,621,1643763058263
25673,1148,1643782795729
5729,621,1643799354374
46794,621,1643889660161
46697,16425,1643964835491
35953,7771,1644057059807
11401,7771,1644299452529
15356,7771,1644512691187
24571,7771,1644558143219
40040,1148,1644669961032
12396,7771,1644735706345
22408,16425,1644893925135
677,16425,1645226152369
15858,7771,1645246308519
15480,7771,1645247780388
10648,7771,1645419702324
28531,7771,1645433588624
29825,11698,1645468327718
17534,11698,1645502896771
15542,11698,1645625589344
49098,16425,1645719186429
47601,11698,1645874595762
18980,9949,1645952814868
29375,9949,1645968457769
25117,9949,1645977853141
20138,9949,1646035889469
31970,9949,1646042520362
49834,12164,1646136293307
12310,9949,1646141458318
35600,11698,1646141790118
5997,12164,1646184774779
33237,12164,1646221870646
24302,12164,1646222981582
12834,9949,1646312152542
31706,9949,1646372273024
11567,12164,1646469136648
11452,12164,1646489150351
30567,12164,1646495075245
49545,12164,1646504221629
18946,12164,1646529810247
12592,9949,1646532895459
22342,12164,1646536087222
13660,12164,1646538766621
10090,9949,1646747441055
26398,11698,1646800702757
17952,13539,1646898069785
2046,13539,1646899182395
18594,13539,1646899905086
2858,13539,1646902085226
3471,13539,1646910475696
5708,11698,1646918181476
26891,13539,1646920210339
7543,9590,1646957728633
14595,13539,1646961457277
22145,9590,1646965754236
6713,11698,1647004697760
4485,9590,1647012566483
37465,9590,1647012605783
40189,9590,1647014667464
14663,10635,1647055366126
14769,19115,1647060803693
42969,19115,1647061856642
16071,9590,1647062089427
44792,19115,1647067998121
7420,13539,1647084596375
40908,10635,1647084749943
22749,9590,1647085420950
10040,6957,1647091110550
5564,6957,1647094396247
14476,7362,1647096094471
25555,19115,1647096432109
5890,19115,1647097577423
31707,6957,1647098138475
34582,6957,1647100398539
23574,19115,1647101221383
42136,6957,1647121794575
456,6957,1647124530000
17537,6957,1647125174399
49599,6957,1647129482490
13986,19115,1647130656123
46917,7362,1647130782957
8246,9590,1647135185409
31207,6957,1647136199417
12433,10910,1647136315194
21354,10910,1647141598863
